"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"come" 0.2 0.15 0.14 0.23 0.07 0.2 0.2 0.22 0.01 0.09 0.05 0.05 0.15 0.07 0.02 0.01 0.15 0.1 0.16 0.14 0.16 0.09 0.03 0.08 0.24 0.22 0.22 0.15 0.42 0.12 0.41 0.22
"how" 0.2 0.16 0.21 0.15 0.18 0.04 0.17 0.17 0.2 0.21 0.15 0.34 0.26 0.26 0.11 0.14 0.11 0.15 0.16 0.18 0.26 0.17 0.13 0.12 0.1 0.02 0.03 0.05 0.06 0.11 0.14 0.03
"go" 0.27 0.17 0.15 0.11 0.2 0.13 0.07 0.11 0.06 0.04 0.07 0.04 0.16 0.08 0.02 0.07 0.16 0.18 0.1 0.03 0.14 0.07 0.07 0.24 0.33 0.18 0.19 0.19 0.33 0.2 0.18 0.4
"came" 0.22 0.21 0.15 0.16 0.12 0.32 0.2 0.15 0.04 0.02 0.05 0.01 0.08 0.09 0.07 0.01 0.05 0.12 0.07 0.04 0.07 0.07 0.05 0.18 0.28 0.23 0.3 0.18 0.29 0.4 0.26 0.14
"don" 0.23 0.2 0.21 0.06 0.21 0.24 0 0.1 0.04 0.03 0.12 0.06 0.28 0.16 0.05 0.08 0.16 0.17 0.08 0.12 0.27 0.17 0.27 0.21 0.22 0.12 0.12 0.18 0.04 0.1 0.05 0.17
"still" 0.07 0.11 0.05 0.14 0.08 0.13 0.12 0.14 0.13 0.1 0.17 0.05 0.1 0.13 0.1 0.18 0.14 0.12 0.11 0.15 0.21 0.18 0.2 0.17 0.17 0.17 0.14 0.27 0.17 0.15 0.16 0.17
"away" 0.18 0.15 0.1 0.09 0.2 0.25 0.11 0.19 0.08 0.04 0.1 0.08 0.09 0.08 0.04 0.16 0.11 0.15 0.2 0.08 0.12 0.09 0.06 0.03 0.15 0.14 0.21 0.14 0.13 0.29 0.32 0.28
"where" 0.08 0.16 0.2 0.1 0.14 0.06 0.12 0.16 0.07 0.19 0.12 0.11 0.17 0.23 0.1 0.14 0.12 0.14 0.04 0.17 0.18 0.1 0.16 0.14 0.12 0.13 0.1 0.19 0.18 0.15 0.22 0.12
"well" 0.19 0.19 0.22 0.13 0.18 0.24 0.09 0.09 0.11 0.17 0.09 0.11 0.07 0.1 0.12 0.06 0.1 0.08 0.08 0.2 0.27 0.24 0.16 0.08 0.19 0.06 0.17 0.08 0.08 0.11 0.18 0.08
"us" 0.23 0.09 0.21 0.2 0.18 0.07 0.08 0.08 0.18 0.24 0.22 0.12 0.14 0.25 0.05 0.19 0.08 0.06 0.07 0.05 0.15 0.12 0.08 0.05 0.13 0.1 0.16 0.04 0.1 0.11 0.27 0.21
"off" 0.1 0.1 0.17 0.05 0.13 0.19 0.05 0.16 0.04 0.05 0.14 0.07 0.08 0.08 0.22 0.14 0.24 0.24 0.15 0.18 0.12 0.1 0.03 0.23 0.22 0.12 0.18 0.26 0.04 0.13 0.09 0.12
"great" 0.18 0.26 0.17 0.2 0.25 0.06 0.11 0.23 0.02 0.02 0.02 0.03 0.02 0.05 0.04 0.05 0.09 0.04 0.11 0.1 0.05 0.07 0.07 0.13 0.04 0.17 0.29 0.22 0.25 0.35 0.26 0.24
"here" 0.06 0.18 0.05 0.12 0.05 0.12 0.14 0.15 0.03 0.14 0.06 0.11 0.24 0.17 0.09 0.08 0.13 0.18 0.08 0.18 0.25 0.15 0.08 0.12 0.17 0.13 0.18 0.11 0.16 0.08 0.26 0.13
"just" 0.23 0.15 0.12 0.04 0.17 0.19 0.16 0.24 0.06 0.05 0.11 0.12 0.13 0.07 0.07 0.07 0.17 0.29 0.19 0.22 0.2 0.13 0.02 0.25 0.11 0.1 0.15 0.16 0 0.07 0.02 0.07
"looked" 0.11 0.04 0.12 0.09 0.04 0.14 0.29 0.17 0.02 0.02 0.15 0.04 0.14 0.13 0.07 0.12 0.18 0.11 0.33 0.16 0.19 0.26 0.12 0.19 0.12 0.14 0.1 0.05 0.09 0.14 0.16 0.09
"after" 0.18 0.14 0.22 0.12 0.13 0.09 0.18 0.21 0.12 0.08 0.08 0.13 0.13 0.09 0.1 0.12 0.07 0.14 0.1 0.17 0.16 0.1 0.09 0.06 0.23 0.17 0.15 0.26 0.07 0.06 0.06 0.09
"think" 0.1 0.09 0.25 0.15 0.25 0.24 0.15 0.2 0.11 0.09 0.03 0.09 0.2 0.1 0.05 0.1 0.1 0.21 0.13 0.18 0.3 0.12 0.13 0.07 0.16 0.01 0.11 0.08 0.09 0.01 0.11 0.05
"even" 0.18 0.06 0.11 0.14 0.08 0.1 0.13 0.19 0.18 0.16 0.14 0.17 0.11 0.16 0.17 0.2 0.12 0.08 0.07 0.11 0.06 0.08 0.1 0.13 0.11 0.04 0.17 0.14 0.1 0.18 0.12 0.14
"some" 0.06 0.2 0.17 0.17 0.08 0.14 0.08 0.12 0.06 0.1 0.04 0.01 0.15 0.05 0.05 0.08 0.14 0.12 0.1 0.04 0.06 0.14 0.07 0.2 0.12 0.11 0.21 0.18 0.21 0.19 0.29 0.25
"way" 0.1 0.09 0.19 0.07 0.15 0.13 0.14 0.07 0.03 0.04 0.07 0.05 0.18 0.1 0.11 0.15 0.05 0.09 0.17 0.11 0.07 0.07 0.06 0.16 0.15 0.17 0.16 0.18 0.15 0.17 0.07 0.41
"eyes" 0.13 0.06 0.04 0.12 0.09 0.08 0.04 0.1 0.08 0.1 0.11 0.12 0.27 0.19 0.1 0.1 0.16 0.14 0.1 0.1 0.1 0.16 0.1 0.17 0.05 0.09 0.13 0.17 0.1 0.27 0.14 0.17
"dumbledore" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0.29 0.6 0.74 0.27 0.69 1.07 0.14 0 0 0 0 0 0 0 0
"other" 0.21 0.17 0.1 0.13 0.16 0.17 0.1 0.08 0.07 0.17 0.13 0.12 0.09 0.1 0.19 0.13 0.09 0.08 0.09 0.13 0.09 0.14 0.08 0.08 0.12 0.15 0.13 0.13 0.06 0.1 0.12 0.09
"good" 0.17 0.17 0.28 0.12 0.15 0.22 0.13 0.07 0.08 0.06 0.04 0.07 0.13 0.02 0.04 0.06 0.14 0.12 0.07 0.09 0.07 0.13 0.08 0.08 0.23 0.11 0.21 0.22 0.12 0.03 0.09 0.19
"thought" 0.17 0.1 0.16 0.12 0.16 0.17 0.14 0.12 0.07 0.1 0.06 0.14 0.07 0.09 0.14 0.12 0.07 0.12 0.19 0.09 0.05 0.08 0.09 0.12 0.09 0.12 0.05 0.16 0.12 0.1 0.16 0.2
"any" 0.16 0.06 0.17 0.14 0.13 0.1 0.17 0.05 0.07 0.11 0.08 0.14 0.17 0.11 0.06 0.16 0.1 0.13 0.07 0.07 0.08 0.1 0.1 0.03 0.19 0.12 0.11 0.19 0.13 0.09 0.11 0.16
"head" 0.18 0.04 0.06 0.13 0.05 0.14 0.05 0.08 0.18 0.11 0.23 0.14 0.13 0.16 0.17 0.11 0.14 0.1 0.12 0.14 0.08 0.26 0.13 0.12 0.05 0.05 0.05 0.08 0.07 0.06 0.12 0.07
"right" 0.13 0.15 0.09 0.15 0.14 0.04 0.16 0.17 0.07 0.07 0.12 0.06 0.15 0.09 0.09 0.11 0.13 0.11 0.32 0.08 0.16 0.19 0.06 0.17 0.09 0.09 0.08 0.1 0.03 0.07 0.05 0.07
"never" 0.14 0.12 0.17 0.19 0.17 0.15 0.2 0.06 0.11 0.1 0.1 0.14 0.1 0.11 0.09 0.07 0.04 0.18 0.11 0.12 0.07 0.07 0.16 0.22 0.11 0.02 0.12 0.09 0.06 0.01 0.05 0.12
"our" 0.15 0.12 0.13 0.16 0.07 0.07 0.09 0.07 0.1 0.56 0.24 0.12 0.04 0.23 0.03 0.07 0.03 0.04 0.05 0.07 0.1 0.05 0.06 0.04 0.2 0.03 0.1 0.05 0.17 0.02 0.25 0.05
"through" 0.04 0.11 0.11 0.07 0.05 0.02 0.04 0.07 0.07 0.1 0.19 0.1 0.11 0.21 0.24 0.14 0.07 0.16 0.13 0.11 0.09 0.13 0.06 0.21 0.19 0.16 0.11 0.11 0.09 0.06 0.09 0.1
"little" 0.12 0.24 0.16 0.16 0.21 0.17 0.31 0.22 0.04 0.03 0.02 0.04 0.03 0 0.01 0.03 0.05 0.07 0.03 0.22 0.13 0.08 0.06 0.1 0.04 0.14 0.22 0.14 0.14 0.09 0.09 0.14
"last" 0.13 0.07 0.08 0.15 0.09 0.07 0.12 0.19 0.05 0.04 0.02 0.06 0.04 0.06 0.1 0.04 0.11 0.11 0.13 0.11 0.05 0.06 0.12 0.11 0.13 0.11 0.12 0.26 0.14 0.28 0.22 0.15
"get" 0.14 0.12 0.14 0.08 0.16 0.18 0.11 0.15 0.04 0 0.05 0.02 0.14 0.08 0 0.05 0.16 0.12 0.12 0.14 0.17 0.09 0.04 0.2 0.28 0.05 0.11 0.24 0.01 0.06 0.06 0.19
"got" 0.13 0.22 0.19 0.05 0.12 0.13 0.1 0.13 0 0 0.03 0.01 0.06 0 0.02 0.01 0.13 0.25 0.21 0.12 0.24 0.13 0.11 0.36 0.19 0.05 0.14 0.18 0.03 0.05 0.04 0.06
"ron" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.84 0.74 0.32 0.34 1.07 0.1 0.05 0 0 0 0 0 0 0 0 0
"has" 0.21 0.13 0.1 0.14 0.14 0.05 0.02 0.11 0.16 0.22 0.14 0.07 0.13 0.18 0.01 0.11 0.07 0.1 0.15 0.07 0.05 0.14 0.22 0 0.12 0.04 0.05 0.05 0.11 0.05 0.22 0.09
"too" 0.11 0.14 0.15 0.09 0.15 0.13 0.11 0.05 0.07 0.03 0.1 0.08 0.11 0.04 0.09 0.14 0.17 0.1 0.15 0.1 0.13 0.1 0.2 0.09 0.14 0.06 0.05 0.23 0.06 0.07 0.05 0.15
"its" 0.22 0.02 0.05 0.11 0.1 0.23 0.07 0.2 0.04 0.03 0.14 0.08 0.2 0.07 0.32 0.07 0.06 0.01 0.16 0.07 0.16 0.03 0.05 0.09 0.04 0.11 0.06 0.12 0.04 0.27 0.04 0.17
"must" 0.06 0.2 0.12 0.18 0.11 0.17 0.05 0.1 0.12 0.21 0.06 0.11 0.05 0.13 0.05 0.04 0.02 0.04 0.03 0.1 0.06 0.07 0.14 0.04 0.17 0.08 0.1 0.19 0.25 0.07 0.08 0.19
"two" 0.13 0.2 0.13 0.14 0.17 0.14 0.13 0.11 0.11 0.13 0.13 0.1 0.04 0.06 0.14 0.06 0.1 0.1 0.06 0.16 0.11 0.1 0.04 0.07 0.12 0.06 0.19 0.05 0.04 0.05 0.08 0.08
"saw" 0.16 0.08 0.17 0.06 0.04 0.14 0.15 0.27 0.04 0.02 0.09 0.04 0.05 0.06 0.13 0.07 0.13 0.04 0.15 0.13 0.06 0.16 0.08 0.09 0.06 0.09 0.05 0.15 0.11 0.2 0.14 0.11
"made" 0.12 0.18 0.09 0.17 0.08 0.22 0.19 0.12 0.08 0.03 0.11 0.03 0.06 0.07 0.08 0.11 0.07 0.08 0.1 0.09 0.08 0.06 0.18 0.15 0.06 0.1 0.11 0.16 0.06 0.05 0.1 0.1
"seemed" 0.09 0.08 0.06 0.16 0.05 0.05 0.13 0.11 0.04 0.06 0.1 0.06 0.01 0.02 0.1 0.06 0.08 0.1 0.07 0.06 0.09 0.12 0.14 0.11 0.11 0.38 0.1 0.18 0.15 0.08 0.16 0.16
"face" 0.26 0.06 0.1 0.16 0.08 0.09 0.16 0.14 0.1 0.09 0.2 0.03 0.12 0.11 0.03 0.1 0.21 0.05 0.13 0.15 0.07 0.32 0.06 0.05 0.06 0.02 0 0.02 0.12 0.03 0.04 0.1
"though" 0.08 0.03 0.13 0.12 0.07 0.06 0.09 0.09 0.02 0.03 0.13 0.08 0.05 0.15 0.08 0.08 0.09 0.14 0.22 0.17 0.09 0.14 0.17 0.09 0.12 0.12 0.16 0.13 0.09 0.05 0.1 0.07
"going" 0.16 0.16 0.1 0.09 0.11 0.11 0.11 0.14 0.03 0.01 0.04 0.01 0.09 0.06 0.03 0.03 0.07 0.08 0.13 0.09 0.21 0.14 0.08 0.14 0.31 0.11 0.11 0.15 0.04 0.09 0.1 0.1
"asked" 0.02 0.11 0.1 0.11 0.11 0.01 0.1 0.05 0.1 0.12 0.16 0.14 0.37 0.28 0.05 0.1 0.03 0.06 0.06 0.19 0.23 0.09 0.09 0.13 0.11 0.04 0.06 0.05 0.06 0 0.03 0.05
"say" 0.14 0.1 0.16 0.18 0.24 0.17 0.14 0.18 0.04 0.03 0.05 0.05 0.11 0.05 0.01 0.03 0.06 0.08 0.07 0.08 0.07 0.07 0.13 0.14 0.11 0.04 0.11 0.06 0.19 0.06 0.18 0.08
"first" 0.17 0.21 0.13 0.14 0.08 0.19 0.14 0.1 0.05 0.08 0.12 0.09 0.08 0.16 0.1 0.1 0.08 0.07 0.09 0.1 0.08 0.1 0.04 0.13 0.06 0.06 0.04 0.12 0.03 0.04 0.11 0.06
"look" 0.13 0.22 0.17 0.14 0.13 0.12 0.19 0.13 0.04 0.05 0.02 0.03 0.14 0 0.02 0.11 0.11 0.1 0.08 0.19 0.18 0.13 0.02 0.1 0.08 0.02 0.07 0.09 0.08 0.03 0.12 0.11
"far" 0.1 0.09 0.16 0.14 0.13 0.1 0.08 0.1 0.05 0.03 0.06 0.01 0.05 0.08 0.04 0.11 0.01 0.04 0.04 0.04 0.02 0.04 0.05 0.03 0.11 0.23 0.24 0.27 0.08 0.24 0.14 0.22
"went" 0.11 0.14 0.1 0.08 0.14 0.06 0.14 0.21 0.03 0.02 0.03 0.02 0.07 0.02 0.05 0.08 0.13 0.13 0.03 0.04 0.05 0.04 0.04 0.09 0.18 0.14 0.2 0.11 0.18 0.18 0.07 0.14
"once" 0.13 0.19 0.09 0.13 0.1 0.14 0.14 0.1 0.05 0.07 0.09 0.09 0.05 0.04 0.12 0.1 0.03 0.04 0.08 0.22 0.15 0.1 0.18 0.1 0.08 0.05 0.04 0.02 0.06 0.07 0.01 0.13
"voice" 0.15 0.14 0.11 0.14 0.06 0.29 0.15 0.1 0.03 0.07 0.05 0.02 0.03 0.06 0.05 0.04 0.04 0.19 0.13 0.09 0.09 0.18 0.14 0.03 0.08 0.15 0.02 0.01 0.04 0.12 0.08 0.09
"might" 0.16 0.09 0.21 0.01 0.15 0.14 0.07 0.08 0.08 0.17 0.07 0.08 0.09 0.05 0.07 0.17 0.05 0.11 0.08 0.04 0.08 0.09 0.18 0.04 0.13 0.05 0.02 0.04 0.08 0.1 0.08 0.05
"old" 0.05 0.2 0.06 0.07 0.07 0.22 0.09 0.06 0.03 0.02 0.03 0.04 0.03 0.05 0.02 0.05 0.03 0.07 0.04 0.14 0.07 0.01 0.07 0.11 0.26 0.21 0.02 0.05 0.13 0.07 0.37 0.16
"dark" 0.04 0.04 0.09 0.08 0.06 0.06 0.06 0.08 0.03 0.03 0.07 0.05 0.03 0.03 0.07 0.05 0.03 0.08 0.13 0.07 0.03 0.11 0.07 0.07 0.17 0.17 0.11 0.2 0.13 0.25 0.12 0.27
"ll" 0.14 0.14 0.09 0.02 0.08 0.12 0 0.05 0.01 0.03 0.15 0.07 0.27 0.18 0.08 0.05 0.14 0.21 0.06 0.13 0.18 0.07 0 0.15 0.16 0.02 0.01 0.03 0 0.08 0 0.14
"tell" 0.05 0.09 0.12 0.12 0.13 0.04 0.08 0.11 0.12 0.04 0.03 0.09 0.14 0.09 0.06 0.06 0.09 0.11 0.05 0.11 0.09 0.13 0.17 0.12 0.2 0.05 0.1 0.03 0.08 0.01 0.08 0.07
"much" 0.11 0.11 0.15 0.08 0.14 0.08 0.07 0.11 0.14 0.04 0.1 0.11 0.09 0.08 0.06 0.11 0.08 0.07 0.02 0.1 0.07 0.04 0.17 0.05 0.11 0.05 0.11 0.1 0.08 0.07 0.09 0.06
"ever" 0.13 0.04 0.14 0.12 0.18 0.14 0.16 0.04 0.02 0.11 0.03 0.06 0.12 0.08 0.05 0.06 0.12 0.03 0.09 0.08 0.02 0.07 0.11 0.11 0.07 0.05 0.08 0.12 0.08 0.12 0.06 0.12
"side" 0.2 0.13 0.12 0.12 0.11 0.04 0.05 0.12 0.03 0.06 0.14 0.1 0.03 0.08 0.14 0.06 0.05 0.03 0.09 0.03 0.03 0.08 0.01 0.08 0.11 0.22 0.12 0.14 0.05 0.13 0.08 0.03
"hand" 0.05 0.08 0.03 0.09 0.04 0.09 0.04 0.07 0.12 0.13 0.03 0.1 0.05 0.11 0.16 0.12 0.09 0.07 0.07 0.11 0.09 0.13 0.04 0.14 0.01 0.08 0.03 0.08 0.11 0.24 0.14 0.04
"himself" 0.08 0.02 0.02 0.04 0.09 0.08 0.06 0.08 0.08 0.12 0.13 0.16 0.11 0.04 0.17 0.05 0.13 0.1 0.15 0.08 0.04 0.12 0.11 0.11 0.04 0.08 0.05 0.1 0.04 0.16 0.07 0.07
"upon" 0.11 0.03 0.02 0.17 0.02 0.04 0.02 0.02 0.13 0.24 0.04 0.13 0.01 0.02 0.03 0.16 0.02 0 0.08 0.08 0.05 0.15 0.12 0.01 0 0.1 0.04 0.05 0.14 0.32 0.18 0.23
"heard" 0.14 0.05 0.05 0.05 0.08 0.16 0.09 0.17 0.02 0.04 0.1 0.03 0.05 0.02 0.03 0.03 0.08 0.12 0.15 0.06 0.03 0.12 0.04 0.06 0.13 0.17 0.17 0.1 0.13 0.09 0.11 0.08
"while" 0.03 0.04 0.03 0.08 0.03 0.02 0.03 0.07 0.09 0.1 0.08 0.19 0.07 0.04 0.07 0.16 0.02 0.04 0.07 0.13 0.08 0.04 0.07 0.08 0.05 0.14 0.11 0.21 0.21 0.09 0.17 0.11
"felt" 0.06 0.16 0.08 0.05 0.03 0.09 0.08 0.18 0.05 0.05 0.12 0.03 0.03 0.03 0.08 0.16 0.09 0.06 0.15 0.11 0.1 0.13 0.13 0.03 0.08 0.12 0.04 0.09 0.05 0.08 0.06 0.1
"left" 0.11 0.05 0.07 0.09 0.06 0.05 0.06 0.02 0.08 0.08 0.08 0.06 0.11 0.06 0.1 0.08 0.1 0.08 0.11 0.11 0.11 0.04 0.09 0.11 0.15 0.11 0.11 0.15 0.07 0.09 0.08 0.03
"why" 0.07 0.16 0.09 0.08 0.12 0.04 0.06 0.04 0.07 0.04 0.06 0.22 0.1 0.11 0.03 0.11 0.03 0.11 0.06 0.12 0.18 0.1 0.18 0.11 0.04 0.03 0.04 0.07 0.08 0.03 0.1 0.01
"let" 0.05 0.07 0.07 0.09 0.01 0.12 0.09 0.1 0.08 0.06 0.05 0.06 0.13 0.13 0.07 0.1 0.1 0.1 0.08 0.1 0.07 0.08 0.06 0.03 0.11 0.12 0.09 0.03 0.12 0.07 0.11 0.11
"am" 0.07 0.06 0.04 0.27 0.13 0.04 0.05 0 0.14 0.19 0 0.11 0.08 0.09 0 0.07 0.03 0.01 0.01 0.11 0 0.11 0.11 0.02 0.15 0.08 0.1 0.09 0.21 0.07 0.15 0.04
"re" 0.11 0.16 0.09 0.02 0.03 0.17 0 0.03 0.03 0.02 0.07 0.08 0.19 0.06 0.02 0.05 0.17 0.16 0.18 0.19 0.35 0.16 0.07 0.08 0.04 0 0 0.01 0 0.06 0 0.02
"night" 0.2 0.1 0.21 0.07 0.19 0.01 0.06 0.06 0.04 0.05 0.11 0.1 0.02 0.03 0.02 0.02 0.06 0.07 0.02 0.02 0.02 0.04 0.11 0.07 0.06 0.11 0.15 0.15 0.15 0.1 0.11 0.05
"behind" 0.12 0.02 0.05 0.01 0.04 0.09 0.09 0.08 0.04 0.03 0.08 0 0.05 0.04 0.1 0.04 0.13 0.14 0.08 0.05 0.03 0.15 0.11 0.09 0.17 0.12 0.08 0.08 0.17 0.14 0.07 0.07
"d" 0.1 0.04 0.15 0.04 0.1 0.06 0 0.07 0 0 0.04 0.05 0.05 0.03 0.01 0.03 0.2 0.33 0.23 0.1 0.21 0.13 0.04 0.45 0.01 0.01 0 0 0 0.01 0 0.07
"frodo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.84 0.37 0 0 0 0.69 0.02 0.63
"things" 0.05 0.11 0.08 0.06 0.13 0.13 0.21 0.1 0.06 0.02 0.03 0.04 0.04 0.11 0.05 0.03 0.04 0.09 0.02 0.1 0.04 0.05 0.02 0.14 0.14 0.15 0.11 0.08 0.06 0.12 0.08 0.06
"another" 0.08 0.1 0.07 0.23 0.12 0.06 0.09 0.09 0.06 0.06 0.06 0.08 0.06 0.08 0.1 0.06 0.07 0.08 0.08 0.08 0.02 0.04 0.05 0.04 0.06 0.08 0.1 0.13 0.03 0.04 0.08 0.16
"saphira" 0 0 0 0 0 0 0 0 0.39 0.14 0.27 0.34 0.19 0.54 0.25 0.39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"knew" 0.07 0.04 0.1 0.08 0.14 0.06 0.1 0.09 0.04 0.01 0.02 0.05 0.05 0.04 0.13 0.19 0.04 0.12 0.06 0.1 0.11 0.06 0.25 0.15 0.03 0.03 0.03 0.03 0.05 0.08 0.03 0.08
"many" 0.03 0.03 0.07 0.14 0.05 0.04 0.08 0.01 0.07 0.09 0.06 0.09 0.08 0.14 0.1 0.05 0.01 0.06 0.02 0.07 0.05 0.03 0.05 0.02 0.11 0.11 0.1 0.14 0.22 0.09 0.18 0.07
"yes" 0.05 0.05 0.09 0.08 0.07 0.07 0.09 0.01 0.03 0.01 0.05 0.11 0.08 0.07 0.02 0.02 0.04 0.04 0.09 0.12 0.06 0.2 0.12 0 0.06 0 0.05 0.01 0.03 0.09 0.12 0.5
"day" 0.07 0.1 0.18 0.02 0.14 0.02 0.12 0.02 0.09 0.09 0.06 0.06 0.06 0.02 0.01 0.02 0.08 0.08 0.01 0.03 0.04 0.05 0.05 0.08 0.12 0.08 0.07 0.09 0.11 0.21 0.1 0.14
"something" 0.09 0.08 0.07 0.06 0.09 0.14 0.1 0.22 0.04 0.03 0.03 0.04 0.12 0.03 0.09 0.03 0.12 0.13 0.06 0.1 0.13 0.16 0.03 0.11 0.04 0.05 0.05 0.06 0 0.04 0.05 0.03
"nothing" 0.1 0.11 0.09 0.12 0.11 0.11 0.15 0.06 0.02 0.03 0.07 0.05 0.06 0.09 0.03 0.11 0.06 0.05 0.04 0.09 0.09 0.08 0.05 0.03 0.06 0.07 0.03 0.14 0.04 0.05 0.09 0.13
"around" 0.01 0 0 0.01 0 0.01 0 0 0.1 0.06 0.17 0.05 0.13 0.09 0.19 0.09 0.34 0.18 0.24 0.12 0.14 0.22 0.14 0.1 0 0.01 0 0 0 0 0 0
"own" 0.13 0.06 0.08 0.12 0.14 0.07 0.14 0.03 0.19 0.1 0.09 0.09 0.07 0.06 0.05 0.09 0.05 0.03 0.07 0.02 0.1 0.03 0.07 0.05 0.07 0.02 0.07 0 0.08 0.07 0.07 0.08
"ve" 0.09 0.21 0.05 0.03 0.01 0.12 0 0.03 0.01 0 0.05 0.06 0.14 0.13 0.01 0.03 0.16 0.17 0.07 0.13 0.35 0.17 0.06 0.13 0.07 0 0.04 0.01 0 0.03 0 0.02
"man" 0.08 0.03 0.05 0.13 0.05 0.09 0.15 0.06 0.06 0.07 0.09 0.07 0.09 0.05 0.16 0.18 0 0.04 0.05 0.03 0.08 0.06 0.08 0.07 0 0.1 0.1 0 0.11 0.01 0.22 0.01
"because" 0.06 0.11 0.06 0.05 0.15 0.07 0.1 0.08 0.1 0.1 0.02 0.1 0.05 0.23 0.04 0.09 0.09 0.05 0.06 0.07 0.15 0.05 0.06 0.03 0.02 0.01 0.05 0.07 0.06 0.05 0.07 0.02
"may" 0.06 0.04 0.09 0.11 0.14 0.02 0.02 0.09 0.17 0.16 0.04 0.16 0.11 0.06 0.01 0.04 0 0.02 0.03 0.03 0.01 0.06 0.05 0.01 0.11 0.01 0.05 0.07 0.28 0.01 0.17 0.08
"hermione" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.53 0.36 0.34 0.12 0.67 0.13 0.15 0 0 0 0 0 0 0 0 0
"moment" 0.2 0.11 0.04 0.1 0.05 0.16 0.07 0.26 0.07 0.06 0.04 0.04 0.04 0.02 0.08 0.07 0.06 0.05 0.1 0.06 0.05 0.05 0.1 0.04 0.03 0.05 0.04 0.02 0.02 0.11 0.03 0.08
"light" 0.01 0.02 0.06 0.15 0.06 0.04 0.08 0.05 0.06 0.03 0.05 0.06 0.07 0.05 0.1 0.04 0 0.03 0.07 0.08 0.03 0.04 0.01 0.04 0.11 0.21 0.09 0.17 0.09 0.15 0.09 0.13
"want" 0.08 0.1 0.1 0.02 0.07 0.15 0.04 0.02 0.1 0.04 0.07 0.07 0.11 0.15 0.03 0.03 0.06 0.13 0.06 0.22 0.13 0.03 0.09 0.06 0.15 0.01 0.04 0.01 0.02 0.01 0 0.07
"few" 0.09 0.08 0.06 0.13 0.06 0.11 0.08 0.07 0.09 0.04 0.05 0.07 0.1 0.05 0.14 0.12 0.07 0.02 0.05 0.05 0.09 0.08 0.06 0.06 0.06 0.02 0.07 0.05 0.1 0.03 0.08 0.03
"soon" 0.06 0.1 0.1 0.06 0.13 0.07 0.11 0.13 0.03 0.02 0.04 0.04 0.07 0.02 0.09 0.04 0 0.02 0.03 0.01 0.03 0.05 0.04 0.02 0.13 0.12 0.2 0.2 0.11 0.06 0.07 0.06
"looking" 0.04 0.06 0.08 0.04 0.03 0.01 0.11 0.1 0 0.03 0.03 0.02 0.06 0 0.03 0.01 0.19 0.2 0.17 0.09 0.14 0.16 0.07 0.08 0.12 0.1 0.08 0.02 0.02 0.03 0.08 0.05
"seen" 0.13 0.09 0.16 0.1 0.1 0.09 0.1 0.08 0.02 0.03 0.02 0.04 0.08 0.04 0.04 0.04 0.09 0.09 0.07 0.09 0.07 0.07 0.05 0.02 0.08 0.05 0.07 0.05 0.07 0.02 0.12 0.05
"take" 0.09 0.07 0.08 0.05 0.1 0.09 0.1 0.07 0.01 0.02 0.02 0.03 0.07 0.1 0.03 0.07 0.08 0.1 0.06 0.04 0.05 0.1 0.05 0.1 0.08 0.01 0.05 0.07 0.2 0.03 0.08 0.11
"turned" 0.09 0.07 0.05 0.03 0.04 0.07 0.13 0.09 0.04 0.04 0.1 0.01 0.04 0.05 0.07 0.05 0.1 0.03 0.12 0.05 0.08 0.09 0.08 0.1 0.06 0.06 0.01 0.07 0.12 0.14 0.09 0.04
"found" 0.04 0.15 0.11 0.07 0.06 0.04 0.06 0.1 0.03 0.03 0.06 0.03 0.06 0.08 0.02 0.14 0.02 0.08 0.1 0 0.04 0.07 0.05 0.07 0.07 0.11 0.12 0.12 0.07 0.06 0.06 0.08
"shall" 0.08 0.06 0.1 0.12 0.04 0.04 0.13 0.05 0.14 0.15 0 0.02 0 0 0.01 0.15 0.02 0.03 0 0.05 0.01 0.02 0.05 0 0.09 0.07 0.1 0.08 0.34 0.08 0.13 0.04
