"Lewis_Battle" "Lewis_Caspian" "Lewis_Chair_1" "Lewis_Chair_2" "Lewis_Horse" "Lewis_Magician" "Lewis_Voyage" "Lewis_Wardrobe" "Paolini_Brisingr_1" "Paolini_Brisingr_2" "Paolini_Eldest_1" "Paolini_Eldest_2" "Paolini_Eragon_1" "Paolini_Eragon_2" "Paolini_Inheritance_1" "Paolini_Inheritance_2" "Rowling_Azkaban" "Rowling_Chamber" "Rowling_Goblet" "Rowling_Halfblood" "Rowling_Hallows" "Rowling_Order_1" "Rowling_Order_2" "Rowling_Sorcerer" "Tolkien_Fellowship_1" "Tolkien_Fellowship_2" "Tolkien_Hobbit_1" "Tolkien_Hobbit_2" "Tolkien_King_1" "Tolkien_King_2" "Tolkien_Tower_1" "Tolkien_Tower_2"
"so" 0.39 0.42 0.42 0.38 0.3 0.36 0.41 0.39 0.36 0.37 0.28 0.38 0.31 0.23 0.24 0.42 0.31 0.23 0.21 0.26 0.31 0.24 0.39 0.26 0.22 0.16 0.23 0.32 0.31 0.26 0.32 0.36
"this" 0.42 0.52 0.36 0.53 0.41 0.4 0.36 0.44 0.29 0.28 0.19 0.24 0.47 0.22 0.1 0.17 0.29 0.37 0.27 0.45 0.21 0.31 0.34 0.38 0.28 0.21 0.27 0.28 0.28 0.2 0.17 0.3
"would" 0.42 0.29 0.33 0.21 0.37 0.25 0.47 0.23 0.58 0.49 0.32 0.39 0.34 0.4 0.35 0.48 0.21 0.21 0.27 0.24 0.25 0.23 0.44 0.08 0.25 0.06 0.22 0.25 0.28 0.2 0.22 0.23
"are" 0.26 0.27 0.18 0.33 0.22 0.2 0.33 0.17 0.32 0.45 0.33 0.59 0.37 0.53 0.04 0.4 0.13 0.15 0.22 0.2 0.24 0.31 0.22 0.1 0.47 0.23 0.45 0.22 0.53 0.16 0.51 0.32
"when" 0.31 0.41 0.47 0.36 0.42 0.28 0.38 0.43 0.28 0.21 0.35 0.34 0.26 0.35 0.21 0.35 0.18 0.2 0.19 0.15 0.25 0.2 0.36 0.18 0.27 0.18 0.25 0.42 0.29 0.22 0.35 0.22
"could" 0.3 0.29 0.33 0.28 0.19 0.44 0.34 0.22 0.25 0.2 0.28 0.33 0.26 0.17 0.31 0.35 0.23 0.21 0.31 0.21 0.19 0.22 0.43 0.27 0.25 0.3 0.35 0.6 0.23 0.34 0.29 0.32
"now" 0.33 0.36 0.18 0.42 0.41 0.5 0.26 0.37 0.09 0.14 0.22 0.1 0.21 0.15 0.11 0.17 0.14 0.31 0.3 0.32 0.21 0.28 0.23 0.17 0.29 0.38 0.36 0.26 0.39 0.61 0.48 0.43
"one" 0.54 0.44 0.35 0.34 0.31 0.33 0.38 0.28 0.27 0.27 0.25 0.28 0.29 0.47 0.39 0.28 0.2 0.25 0.23 0.21 0.22 0.2 0.14 0.41 0.24 0.19 0.24 0.33 0.2 0.17 0.19 0.23
"me" 0.24 0.2 0.11 0.62 0.64 0.4 0.26 0.11 0.46 0.33 0.22 0.22 0.25 0.46 0.05 0.45 0.31 0.21 0.31 0.24 0.24 0.3 0.49 0.25 0.27 0.15 0.08 0.1 0.46 0.21 0.27 0.18
"eragon" 0 0 0 0 0 0 0 0 1.21 1.05 0.61 1.84 1.33 1.09 1.24 0.43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"do" 0.24 0.35 0.36 0.28 0.37 0.3 0.33 0.25 0.37 0.24 0.24 0.39 0.36 0.45 0.08 0.23 0.21 0.13 0.18 0.28 0.34 0.28 0.24 0.2 0.27 0.13 0.16 0.16 0.29 0.18 0.27 0.19
"into" 0.33 0.27 0.16 0.34 0.2 0.2 0.26 0.23 0.12 0.25 0.25 0.19 0.21 0.31 0.3 0.25 0.35 0.26 0.36 0.22 0.29 0.21 0.16 0.33 0.3 0.43 0.35 0.31 0.19 0.2 0.22 0.3
"or" 0.39 0.2 0.31 0.35 0.29 0.16 0.37 0.25 0.17 0.25 0.26 0.41 0.19 0.28 0.2 0.3 0.14 0.08 0.08 0.17 0.11 0.18 0.24 0.12 0.32 0.41 0.37 0.32 0.22 0.41 0.43 0.35
"my" 0.26 0.12 0.1 0.69 0.97 0.34 0.1 0.09 0.48 0.22 0.21 0.18 0.24 0.25 0.06 0.31 0.14 0.29 0.16 0.19 0.21 0.2 0.37 0.12 0.31 0.19 0.13 0.08 0.46 0.15 0.26 0.15
"by" 0.29 0.19 0.32 0.39 0.39 0.12 0.27 0.16 0.31 0.23 0.3 0.39 0.19 0.25 0.2 0.25 0.24 0.17 0.15 0.28 0.25 0.26 0.11 0.23 0.28 0.2 0.28 0.29 0.31 0.31 0.21 0.2
